user_id,clip_id,gamesession_Id,game_name,event_name,created_at,scheduled_at,join_at
1189261,192698825745,215499559.0,chatting,,2023-12-02 03:56:58,2023-12-02 03:56:58,2023-05-28 06:47:30
1189261,192698825745,215499559.0,chatting,,2023-12-02 03:56:58,2023-12-02 03:56:58,2023-05-28 06:47:30
1189261,192698825745,215499559.0,chatting,,2023-12-02 03:56:59,2023-12-02 03:56:59,2023-05-28 06:47:30
1189261,192698825745,215499559.0,chatting,,2023-12-02 03:56:59,2023-12-02 03:56:59,2023-05-28 06:47:30
1189261,192699641070,215499559.0,chatting,,2023-12-02 03:57:41,2023-12-02 03:57:41,2023-05-28 06:47:30
1189261,192699641070,215499559.0,chatting,,2023-12-02 03:57:41,2023-12-02 03:57:41,2023-05-28 06:47:30
1189261,192699641070,215499559.0,chatting,,2023-12-02 03:57:42,2023-12-02 03:57:42,2023-05-28 06:47:30
1189261,192699641070,215499559.0,chatting,,2023-12-02 03:57:42,2023-12-02 03:57:42,2023-05-28 06:47:30
1189261,192699881785,215499559.0,chatting,,2023-12-02 04:00:02,2023-12-02 04:00:02,2023-05-28 06:47:30
1189261,192699881785,215499559.0,chatting,,2023-12-02 04:00:02,2023-12-02 04:00:02,2023-05-28 06:47:30
1189261,192699881785,215499559.0,chatting,,2023-12-02 04:00:03,2023-12-02 04:00:03,2023-05-28 06:47:30
1189261,192699881785,215499559.0,chatting,,2023-12-02 04:00:03,2023-12-02 04:00:03,2023-05-28 06:47:30
1189261,192700200150,215499559.0,chatting,,2023-12-02 04:00:16,2023-12-02 04:00:16,2023-05-28 06:47:30
1189261,192700200150,215499559.0,chatting,,2023-12-02 04:00:16,2023-12-02 04:00:16,2023-05-28 06:47:30
1189261,192700200150,215499559.0,chatting,,2023-12-02 04:00:16,2023-12-02 04:00:16,2023-05-28 06:47:30
1189261,192700200150,215499559.0,chatting,,2023-12-02 04:00:17,2023-12-02 04:00:17,2023-05-28 06:47:30
173776,192733954605,213374501.0,Other Games,,2023-12-02 06:38:49,2023-12-02 18:00:00,2023-09-09 14:38:34
173776,192733954605,213374501.0,Other Games,,2023-12-02 06:38:49,2023-12-02 18:00:00,2023-09-09 14:38:34
173776,192733954605,213374501.0,Other Games,,2023-12-02 06:38:49,2023-12-02 18:00:00,2023-09-09 14:38:34
173776,192733954605,213374501.0,Other Games,,2023-12-02 06:38:50,2023-12-02 18:00:00,2023-09-09 14:38:34
173776,192734327325,213374501.0,Other Games,,2023-12-02 06:39:54,2023-12-02 18:00:00,2023-09-09 14:38:34
173776,192734327325,213374501.0,Other Games,,2023-12-02 06:39:55,2023-12-02 18:00:00,2023-09-09 14:38:34
